S_NUMBER,BP_NUMBER,MODEL,E_TYPE,NAME,STATUS,DOMAIN,PROVIDER,IP,MAC_ADDRESS,MONITOR_TYPE,DETAIL1,DETAIL2,DETAIL3
SN00076NULL,BP00139NULL,PPC-5150AA,PANEL,WKS064-200AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,SEMIELABORADOS,TRAFILA,
SN00077NULL,BP00140NULL,ProDesk,DESKTOPS,7WK064-539AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,SEMIELABORADOS,T 6 + 6,
SN00079NULL,BP00142NULL,ProDesk,DESKTOPS,7WK064-182AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,SEMIELABORADOS,TRIPUS,
SN00080NULL,BP00143NULL,Vostro,DESKTOPS,WKS064-28AR,BACKUP,MerloTyres,PIRELLI,,,NAME,CONTROL VISIVO,REPARACION,
SN00081NULL,BP00144NULL,ProDesk,DESKTOPS,7WKS064-229AR,BACKUP,MerloTyres,PIRELLI,,,NAME,COMPUESTOS,BY SERVICES,
SN00082NULL,BP00145NULL,ProDesk,DESKTOPS,WKS064-404AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,TALONES,CORTADORA ,
SN00083NULL,BP00146NULL,HP v194,MONITOR,MONITOR-D702,ACTIVE,MerloTyres,PIRELLI,,,NAME,CONTROL FINAL,MONITOR D70-2,
SN00084NULL,BP00148NULL,ProDesk,DESKTOPS,WKS064-241AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,CONTROL FINAL,D70-2,
SN00085NULL,BP00150NULL,HP v194,MONITOR,MONITOR-7WK064-198AR,ACTIVE,MerloTyres,PIRELLI,,,,BANBURY,MONITOR PC TALLER BY,
SN00086NULL,BP00151NULL,ProDesk,DESKTOPS,7WK064-119AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,BANBURY P1,BANBURY 3,1 PISO 
SN00087NULL,BP00152NULL,ProDesk,DESKTOPS,WK063-156AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,BANBURY 3,PLC,1 PISO
SN00088NULL,BP00153NULL,PPC-5150AA,PANEL,7WK064-195AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,BANBURY,PC BANBURY 1,1 PISO
SN00089NULL,BP00154NULL,PPC-5150AA,PANEL,7WK064-229AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,BANBURY,PC BANBURY 2,1 PISO
SN00090NULL,BP00155NULL,D15S,DESKTOPS,WKS064-406AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,A70-25,CF 1
SN00092NULL,BP00157NULL,ProDesk,DESKTOPS,WKS064-410AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,CONTROL FINAL,REPARADO,VISIVO 5
SN00093NULL,BP00158NULL,ProDesk,DESKTOPS,WKS064-302AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,MONITOREO ARMADO,
SN00094NULL,BP00159NULL,ProDesk,DESKTOPS,WKS064-12AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,CONTROL FINAL,SUPER CONTROL,
SN00095NULL,BP00160NULL,ET1537L,MONITOR,MONITOR-WKS064-12AR,ACTIVE,MerloTyres,PIRELLI,,,,CONTROL FINAL,MONITOR SUPER CONTROL,
SN00096NULL,BP00161NULL,HP v194,MONITOR,MONITOR-D70-3,ACTIVE,MerloTyres,PIRELLI,,,,CONTROL FINAL,MONITOR-D70-3,
SN00097NULL,BP00162NULL,PPC-5150AA,PANEL,7WK064-157AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,3L8-AT05 REEMPLAZO,
SN00098NULL,BP00163NULL,ProDesk,DESKTOPS,7WK064-338AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,CONTROL FINAL,GUARDIA,
SN00099NULL,BP00164NULL,ProDesk,DESKTOPS,WKS064-432AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,TALONES,APEX 08 432AR,
SN00101NULL,BP00166NULL,Vostro,DESKTOPS,WKS064-PRUEBAMANTENIMIENTO,MAINTENANCE,MerloTyres,PIRELLI,,,IP,PRUEBA DE MANTENIMIENTO,,
SN00103NULL,BP00168NULL,HP v194,MONITOR,WKS064-PRUEBA-BORROW,BORROWED,MerloTyres,PIRELLI,,,IP,PRUEBA-BORROW,,
SN00104NULL,BP00169NULL,ProDesk,DESKTOPS,WKS064-433AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,SEMIELABORADOS,TPCS BALANZA,
SN00105NULL,BP00170NULL,D13S,DESKTOPS,WKS064-82AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,GUARDIA 2,
SN00106NULL,BP00171NULL,ProDesk,DESKTOPS,7WK064-478AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,CONTROL FINAL,SERVIDOR CALIDAD,
SN00107NULL,BP00172NULL,ProDesk,DESKTOPS,WKS064-16AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,CONTROL FINAL,ISLA MARCACI�N,
SN00108NULL,BP00173NULL,ProDesk,DESKTOPS,7WK064-256AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,SEMIELABORADOS,TALLER SEMIELABORADOS,
SN00109NULL,BP00174NULL,ProDesk,DESKTOPS,WKS064-405AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,TALONES,APEXS 06,
SN00110NULL,BP00175NULL,ProDesk,DESKTOPS,WKS064-408AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,A70-33 REEMPLAZO,
