S_NUMBER,BP_NUMBER,MODEL,E_TYPE,NAME,STATUS,DOMAIN,PROVIDER,IP,MAC_ADDRESS,MONITOR_TYPE,DETAIL1,DETAIL2,DETAIL3
42WPZC3,BP00017NULL,3080,DESKTOPS,WKS064-271AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,3L8C-06,CF 2
42WRZC3,9E+11,D15S,DESKTOPS,WKS064-283AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,TR10-2,CF 2
42WSZC3,BP00038NULL,3080,DESKTOPS,WKS064-304AR,BACKUP,MerloTyres,PIRELLI,,,NAME,ARMADO,AF690-4,CF 1
42WXZC3,BP00031NULL,3080,DESKTOPS,WKS064-307AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,3L8C-07,CF 2
42XNZC3,BP00020NULL,3080,DESKTOPS,WKS064-274AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,SEMIELABORADOS,LINER TRIMIX,
42XPZC3,BP00028NULL,3080,DESKTOPS,WKS064-298AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,AF690-1,CF 1
42XQZC3,BP00049NULL,3080,DESKTOPS,WKS064-297AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,3L8C-10,CF 2
42XRZC3,BP00054NULL,3080,DESKTOPS,WKS064-300AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,3L8AT-01,CF 2
42XSZC3,BP00056NULL,3080,DESKTOPS,WKS064-286AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,3L8AT-03,CF 2
42XTZC3,BP00039NULL,3080,DESKTOPS,WKS064-296AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,A70-34,CF 1
42YQZC3,BP00030NULL,D15S,DESKTOPS,WKS064-306AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,TR20 FLEXI 3,CF 2
42ZPZC3,BP00034NULL,3080,DESKTOPS,WKS064-332AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,A70-19,CF 1
42ZXZC3,9E+11,3080,DESKTOPS,WKS064-288AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,3L8C-08,CF 2
434QZC3,9E+11,3080,DESKTOPS,WKS064-305AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,AF690-2,CF 1
434SZC3,BP00035NULL,3080,DESKTOPS,WKS064-331AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,A70-12,CF 1
434WZC3,BP00060NULL,3080,DESKTOPS,WKS064-319AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,3L8AT-11,CF 2
435XZC3,BP00040NULL,3080,DESKTOPS,WKS064-320AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,A70-02,CF 1
436PAC3,BP00050NULL,3080,DESKTOPS,WKS064-277AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,3L8C-05,CF 2
436TZC3,BP00136NULL,D15S,DESKTOPS,WKS064-335AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,GUARDIA TALLER ,VEJIGAS,
436VZC3,BP00036NULL,3080,DESKTOPS,WKS064-328AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,A70-09,CF 1
437PZC3,BP00059NULL,3080,DESKTOPS,WKS064-321AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,3L8AT-10,CF 2
437QZC3,BP00041NULL,3080,DESKTOPS,WKS064-326AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,A70-13,CF 1
438RZC3,BP00002NULL,3080,DESKTOPS,WKS064-380AR,BACKUP,MerloTyres,PIRELLI,10.131.142.106,B0:7B:25:0B:92:E8,IP,RAMIRO SABRIA,,
438SZC3,BP00094NULL,3080,DESKTOPS,WKS064-293AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO MOTO,CM20-4,
438TZC3,BP00037NULL,3050,DESKTOPS,WKS064-334AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,A70-29,CF 1
438XZC3,BP00021NULL,3080,DESKTOPS,WKS064-275AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,TRIMEZCLA,
439QZC3,BP00003NULL,D15S,DESKTOPS,WKS064-276AR,ACTIVE,MerloTyres,PIRELLI,172.21.24.152,B0:7B:25:0B92:D6,IP,SEMIELABORADOS,KAMPF 2,
45A072000041,B21,Zebra TLP2844-Z,IMPRESORA,TLP2844-Z-LINER,ACTIVE,MerloTyres,PIRELLI,,,NAME,SEMIELABORADOS,TLP2844-Z-LINER,IMPRESORA
45A072000049,BP00184NULL,Zebra GC420,IMPRESORA,TLP2844-Z-CTEX,ACTIVE,MerloTyres,PIRELLI,,,NAME,SEMIELABORADOS,TLP2844-Z-CTEX,IMPRESORA
45RTJK2,9E+11,Vostro,DESKTOPS,WKS064-27AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,AKRO 4,CONTROL FINAL,
45ZMJK2,9E+11,Vostro,DESKTOPS,WKS064-25AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,CONTROL VISIVO,REPARADO VISIVO,CV
54J140801409,BP00195NULL,Zebra GC420,IMPRESORA,GC420-TAL02,ACTIVE,MerloTyres,PIRELLI,,,NAME,TALONES,GC420-TAL02,IMPRESORA
54J140802645,BP00183NULL,Zebra GC420,IMPRESORA,GC420T-BANDINA,ACTIVE,MerloTyres,PIRELLI,,,NAME,SEMIELABORADOS,GC420T-BANDINA,IMPRESORA
54J140902275,BP00194NULL,Zebra GC420,IMPRESORA,GC420-FPA,ACTIVE,MerloTyres,PIRELLI,,,NAME,TALONES,GC420-FPA,IMPRESORA
54J151400948,BP00182NULL,Zebra GC420,IMPRESORA,GC420T-200+120,ACTIVE,MerloTyres,PIRELLI,,,NAME,SEMIELABORADOS,GC420T-200+120,IMPRESORA
54J151500031,BP00196NULL,Zebra GC420,IMPRESORA,GC420-BERSTOFF,ACTIVE,MerloTyres,PIRELLI,,,,SEMIELABORADOS,GC420-BERSTOFF,IMPRESORA
5A072000047,B6,Zebra TLP2844-Z,IMPRESORA,TLP2844-Z-TRIMEZCLA,ACTIVE,MerloTyres,PIRELLI,,,NAME,TRIMEZCLA,TLP2844-Z,IMPRESORA
8W7RGK2,P901827,3050,DESKTOPS,WKS064-192AR,ACTIVE,MerloTyres,PIRELLI,10.131.142.65,50:9A:4C:54:D4:83,IP,KAREN ELIZABETH MANSILLA,,
9VJWZC3,BP00029NULL,3080,DESKTOPS,WKS064-303AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,TR20 FLEXI 4,CF 2
9VKQZC3,BP00052NULL,3080,DESKTOPS,WKS064-309AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,TR10-1,CF 2
9VVWZC3,BP00022NULL,D15S,DESKTOPS,WKS064-280AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,A70-33,CF 1
9W2PZC3,9E+11,3080,DESKTOPS,WKS064-285AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,A70-27,CF 1
AL6080SB5,P901505,ProDesk,DESKTOPS,7WK064-532AR,BACKUP,MerloTyres,PIRELLI,,,NAME,ARMADO,3L8AT-7,CF 2
C20H000034,BP00112NULL,ET1790L,MONITOR,ELO-A70-13,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO MONITOR ,MONITOR A70-13,CF 1
C20H000047,BP00109NULL,ET1790L,MONITOR,ELOE330225,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO MONITOR,MONITOR A70-23,CF 1
C20H000058,BP00113NULL,ET1790L,MONITOR,ELO-A70-16,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO MONITOR,MONITOR A70-16,CF 1
F17H004901,BP00120NULL,ET1790L,MONITOR,ELO-3L8C6,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO MONITOR,MONITOR 3L8C6,CF 2
F7B55H2,P901794,7480,NOTEBOOKS,WKS064-2AR,ACTIVE,MerloTyres,PIRELLI,10.131.138.143,F8:59:71:60:BE:D6,IP,VALENZUELA LEONARDO,,
G17H010412,BP00118NULL,tl1590l,MONITOR,ELO-FS480-1,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO MONITOR,MONITOR FS480-1,CF 1
G4YDL13,9E+11,5400,NOTEBOOKS,WKS064-162AR,ACTIVE,MerloTyres,PIRELLI,10.131.142.108,34:48:ED:3B:44:E2,IP,PICCOLO AGUSTIN,,
GN2BQH1,BP00149NULL,Compac 6200,DESKTOPS,7WK064-84AR,BACKUP,MerloTyres,PIRELLI,,,NAME,BANBURY,GUARDIA,TALLER PB
HGQKHV2,9E+11,Vostro,DESKTOPS,WKS064-198AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,AKRO-3,CONTROL FINAL,
HPX1C62,P901830,3268,DESKTOPS,WKS064-30AR,ACTIVE,MerloTyres,PIRELLI,10.131.142.51,50:9A:4C:14:8B:C7,IP,SORRENTINI CATALINA INES,,
HQ88ZG2,BP00004NULL,D13S,DESKTOPS,WKS064-29AR,ACTIVE,MerloTyres,PIRELLI,151.10.190.224,,IP,SEMIELABORADOS,KAMPF 1,
HVH5YJ2,BP00013NULL,D15S,DESKTOPS,WKS064-224AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO MOTO,MOTO VISIVO,
JOPFF33,BP00010NULL,D15S,DESKTOPS,WKS064-187AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,A70 FLEXI 5,CF 1
JOSGF33,9E+11,D15S,DESKTOPS,WKS064-182AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,A70 FLEXI 3,CF 1
JOTFF33,BP00008NULL,3080,DESKTOPS,WKS064-184AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,A70 FLEXI 1,CF 1
JOTGR33,9E+11,Vostro,DESKTOPS,WKS064-193AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,AKRO 5,CONTROL FINAL,
JOVBF33,BP00009NULL,3080,DESKTOPS,WKS064-185AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,A70 FLEXI 2,CF 1
JOXBR33,9E+11,Vostro,DESKTOPS,WKS064-186AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,A70-26,CF 1
JOYBF33,BP00007NULL,D15S,DESKTOPS,WKS064-183AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,A70 FLEXI 4,CF 1
JOYGF33,9E+11,Vostro,DESKTOPS,WKS064-189AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,SEMIELABORADOS,200+120,
JOZFF33,BP00012NULL,D15S,DESKTOPS,WKS064-197AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,3L8C-03,CF 2
MX0480WBL,23393,HP Compac 6000 Pro  ,DESKTOPS,7WK064-405AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,SEMIELABORADOS,TPCS,
MXL2341QYL,BP00097NULL,Compac 6200,DESKTOPS,7WK064-236AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,VULCANIZADO,GALERIA 2,
MXL2341QZX,BP00177NULL,HP Compac 6000 Pro  ,DESKTOPS,7WK064-26AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,BAMBURY,GUARDIA 2 BAMBURY,
MXL2451YG7,P901283,HP Compac 6000 Pro  ,DESKTOPS,7WK064-215AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,COMPUESTOS,BALANZA MANUAL 3,
MXL42312HS,P901468,ProDesk,DESKTOPS,WKS064-218AR,MAINTENANCE,MerloTyres,PIRELLI,,,NAME,TALONES,APEX 10,
MXL4231C47,P901476,ProDesk,DESKTOPS,WKS064-413AR,ACTIVE,MerloTyres,PIRELLI,151.10.190.155,,NAME,COMPUESTOS,RECICLADO,
MXL4321QH8,BP00071NULL,EliteDesk 800 G1,DESKTOPS,WKS064-223AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,TALONES,LANDINI 01,
MXL4321QJ5,P901578,EliteDesk 800 G1,DESKTOPS,WKS064-80AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,TALONES,APEX 10,ANTES ERA APEX 06
MXL4330NZ6,P901561,3080,DESKTOPS,WKS064-219AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,BANDINA TV NUEVA,
MXL4330PDH,BP00090NULL,ProDesk,DESKTOPS,WKS064-222AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,TALONES,APEX 07,
MXL4330PDT,P901573,ProDesk,DESKTOPS,WKS064-265AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,CONTROL FINAL,SEGUNDO CONTROL DE UNIFORMIDAD,
MXL4330PGM,P901574,EliteDesk 800 G1,DESKTOPS,WKS064-230AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,TALONES,LANDINI 02,
MXL5141RH5,P901641,ProDesk,DESKTOPS,WKS064-315AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,CONTROL FINAL,D70-3,
MXL6031F3K,BP00104NULL,ProDesk,DESKTOPS,7WK064-370AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,COMPUESTOS,BALANZA AUTOMATICA,
MXL6080R1Q,P901738,ProDesk,DESKTOPS,7WK064-560AR,ACTIVE,MerloTyres,PIRELLI,151.10.190.59,,NAME,CONTROL VISIVO,CONTROL 2,CV
MXL6080R26,P901522,ProDesk,DESKTOPS,WKS064-391AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,SEMIELABORADOS,BERSTOFF,
MXL6080R28,P901521,ProDesk,DESKTOPS,WKS064-316AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,CONTROL FINAL,D70-1,
MXL6080R2G,P901728,ProDesk,DESKTOPS,WKS064-424AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,3L8AT-07,CF2
MXL6080R2J,BP00108NULL,ProDesk,DESKTOPS,WKS064-392AR,ACTIVE,MerloTyres,PIRELLI,172.21.24.86,,IP,VULCANIZADO,GUARDIA 1,VZ
MXL6080R2Q,P901730,ProDesk,DESKTOPS,WKS064-352AR,BACKUP,MerloTyres,PIRELLI,10.131142.126,,NAME,TALLER,SOPORTE TECNICO,
MXL6080SBO,P901516,ProDesk,DESKTOPS,WKS064-104AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,SEMIELABORADOS,FISCHER,
MXL80726XW,P901515,ProDesk,DESKTOPS,WKS064-229AR,ACTIVE,MerloTyres,PIRELLI,151.10.191.58,,NAME,CONTROL VISIVO,CONTROL 3,CV
MXL8474RH7,P901643,ProDesk,DESKTOPS,WKS064-395AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,CONTROL VISIVO,AUDITORIA 1ER CONTROL,CV
SN00001NULL,BP00001NULL,7480,NOTEBOOKS,WKS064-351AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,PEPE,,
SN00002NULL,BP00025NULL,3080,DESKTOPS,WKS064-188AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,A70-24,CF 1
SN00003NULL,BP00061NULL,PPC-5150AA,PANEL,7WK064-563AR,ACTIVE,MerloTyres,PIRELLI,151.10.190.98,,NAME,SEMIELABORADOS,200+120,
SN00004NULL,P901642,ProDesk,DESKTOPS,WKS064-396AR,ACTIVE,MerloTyres,PIRELLI,10.131.142.45,,NAME,SEMIELABORADOS,6+6,
SN00005NULL,BP00062NULL,PPC-5150AA,PANEL,7WK064-295AR,ACTIVE,MerloTyres,PIRELLI,172.21.24.46,,IP,SEMIELABORADOS,TRIPUS,
SN00012NULL,BP00069NULL,ProDesk,DESKTOPS,WKS064-216AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,BIMZ,
SN00013NULL,BP00070NULL,ProDesk,DESKTOPS,WKS064-400AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,TALONES,LANDINI 03,
SN00017NULL,BP00075NULL,3080,DESKTOPS,WKS064-190AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,A70-01,CF 1
SN00018NULL,BP00076NULL,3080,DESKTOPS,WKS064-177AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,A70-11,CF 1
SN00019NULL,BP00077NULL,3080,DESKTOPS,WKS064-289AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,TR20-3,CF 2
SN00020NULL,BP00078NULL,3080,DESKTOPS,WKS064-401AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,TAP 6,
SN00021NULL,BP00079NULL,ProDesk,DESKTOPS,7WK064-91AR,BACKUP,MerloTyres,PIRELLI,,,NAME,ARMADO,TALONES,
SN00022NULL,BP00081NULL,PPC-5150AA,PANEL,7WK064-198AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,3L8AT-09,CF 2
SN00023NULL,BP00082NULL,3080,DESKTOPS,WKS064-268AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,A70-06,CF 2
SN00024NULL,BP00083NULL,PPC-5150AA,PANEL,7WK064-170AR,BACKUP,MerloTyres,PIRELLI,,,NAME,ARMADO,3L8AT-05,CF 2
SN00025NULL,P901128,PPC-5150AA,PANEL,7WK064-173AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,A70-28,CF 1
SN00026NULL,BP00084NULL,PPC-5150AA,PANEL,7WK064-227AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,A70-14,CF 1
SN00027NULL,P901189,ProDesk,DESKTOPS,7WK064-333AR,ACTIVE,MerloTyres,PIRELLI,151.10.190.87,,NAME,ARMADO,RECOLECCION,
SN00028NULL,BP00085NULL,3080,DESKTOPS,WKS064-282AR,BACKUP,MerloTyres,PIRELLI,,,NAME,ARMADO,TR20 FLEXI 1,CF 2
SN00029NULL,BP00086NULL,ProDesk,DESKTOPS,WKS064-79AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,SEMIELABORADOS,LISTINO,
SN00030NULL,BP00087NULL,ProDesk,DESKTOPS,7WK064-476AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,SEMIELABORADOS,TTM 03,
SN00031NULL,BP00088NULL,ProDesk,DESKTOPS,7WK064-474AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,SEMIELABORADOS,TTM 04,
SN00032NULL,BP00089NULL,ProDesk,DESKTOPS,7WK064-475AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,SEMIELABORADOS,TTM 02,
SN00033NULL,P901598,tl1590l,MONITOR,ELO-P901598,ACTIVE,MerloTyres,PIRELLI,,,NAME,MONITOR,APEX11,
SN00034NULL,P901600,tl1590l,MONITOR,ELOP901600,ACTIVE,MerloTyres,PIRELLI,,,NAME,MONITOR,KAMPF 2,
SN00035NULL,BP00092NULL,ProDesk,DESKTOPS,WKS064-217AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,TALONES,APEX 11,
SN00036NULL,P901056,PPC-5150AA,PANEL,7WK064-423AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO MOTO,CABINA DE PINTADO,
SN00037NULL,BP00095NULL,3080,DESKTOPS,WKS064-301AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO MOTO,CM2-01,
SN00038NULL,BP00096NULL,PPC-5150AA,PANEL,7WK064-138AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,VULCANIZADO,GALERIA 1,
SN00039NULL,BP00098NULL,PPC-5150AA,PANEL,7WK064-294AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,VULCANIZADO,GALERIA 3,
SN00040NULL,BP00099NULL,PPC-5150AA,PANEL,7WK064-169AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,VULCANIZADO,GALERIA 4,
